year,language,num_projects,num_commits,num_users,num_pull_req,num_pending_issues
2008,assembly,12,6242,208,,
2008,elixir,,2,2,,
2008,processing,,31,5,,
2016,php,466496,6789097,265952,370973,474614
2017,assembly,10001,98335,6028,3175,4107
2017,html,841955,10908324,544392,385534,475130
2017,tex,44436,489187,28355,13561,17935
2007,r,,10358,684,,
2009,dockerfile,,36,2,,
2012,go,8178,126646,3618,1973,2992
2013,scala,28271,375233,13146,16945,20935
2019,python,1202793,8292327,512276,464504,748471
2011,dart,19,4484,138,,13
2017,vue,62146,185581,12010,6406,8961
2011,powershell,135,1999,180,51,72
2017,go,259413,2170580,74172,219336,276693
2018,processing,9017,47800,5177,952,1353
2019,haskell,11113,168127,7710,9437,16573
2019,vim script,16714,134943,14822,1322,2475
2016,visual basic,7619,116324,6519,5897,7378
2018,rust,67435,882487,21790,66716,90996
2010,go,580,21517,388,38,138
2012,css,10667,243743,16968,6992,10642
2015,java,1288752,15638986,687653,537125,720440
2017,c++,480055,5926287,217735,323486,426051
2011,makefile,161,57264,1439,86,103
2010,makefile,53,76072,1137,6,10
2011,c++,23729,1507564,32530,9251,13128
2016,emacs lisp,15129,385321,17203,10091,14439
2017,r,78165,749269,39535,23684,36978
2007,lua,,5208,111,,
2007,viml,,1418,170,,
2018,perl,26944,447672,16906,30270,39149
2019,batchfile,7269,63183,5014,1955,3348
2019,java,1210814,7396440,530409,380512,601407
2007,actionscript,,945,64,,
2013,coldfusion,1254,24057,716,835,1441
2016,c++,376587,6512058,227337,278276,366923
2008,cmake,1,473,55,,
2011,clojure,3581,33602,1175,741,1135
2012,matlab,2141,44226,2582,268,522
2008,javascript,3010,100891,2585,,
2009,shell,1889,169840,3799,,88
2017,puppet,4327,108793,4816,9137,9933
2009,html,294,91696,2413,,116
2010,python,27458,703759,20232,1910,10126
2010,vim script,28,739,64,,
2018,assembly,19558,123594,11486,5175,6209
2019,emacs lisp,7925,129904,8995,3502,7517
2007,vim script,,279,21,,
2012,lua,6163,122398,4480,2400,3321
2012,powershell,1135,9359,844,294,383
2013,groovy,9286,138626,6892,3367,5835
2014,kotlin,832,15924,1093,908,1220
2017,actionscript,3203,24625,1306,1206,1918
2011,jupyter notebook,33,2444,77,3,8
2019,rust,52560,577985,19349,41353,68751
2013,actionscript,11850,94874,5251,1309,2973
2018,groovy,34055,236181,12336,18433,23093
2011,java,59364,1568892,39179,21083,32432
2014,r,97074,696635,56708,7858,13531
2016,c,303412,5418214,194123,171882,230239
2008,jupyter notebook,,23,3,,
2011,swift,21,35711,57,6,20
2015,c++,403735,7628108,250849,249997,336767
2019,r,54483,474180,34941,16104,36583
2017,cmake,9711,123864,7143,6579,7729
2009,typescript,2,7636,163,,
2016,erlang,8756,152073,4407,10564,12718
2016,powershell,20420,296631,12729,41590,45669
2018,vim script,36446,226473,20737,2819,3934
2019,tex,34366,292583,22977,10529,16610
2011,elixir,5,228,29,21,30
2011,visual basic,431,5796,314,15,33
2015,dart,4231,95871,1742,4578,10327
2016,cmake,6015,91054,6695,3666,4589
2017,c#,367122,3203595,173466,208029,279456
2010,css,842,22152,1442,82,340
2011,matlab,591,19594,822,22,69
2015,emacs lisp,19717,459936,18895,11930,15938
2015,vue,311,5007,256,99,177
2017,javascript,2375371,18056687,735143,1248328,1594572
2018,haskell,23988,373750,11674,20941,29623
2018,hcl,19900,149268,9020,13515,15005
2018,html,1389696,14334210,780747,481525,595664
2012,clojure,8715,98071,3535,3607,4033
2012,vim script,195,1544,195,,1
2013,javascript,981272,8754628,348403,265519,437653
2015,c#,326119,4252722,192806,151287,213494
2009,actionscript,896,6620,428,,8
2010,coldfusion,304,3799,130,21,129
2018,dart,38766,189849,11507,14172,21505
2019,perl,12070,176337,9429,10993,19085
2007,perl,,70006,1899,,
2010,viml,7456,40039,2724,169,605
2017,processing,5674,37283,3956,726,1027
2007,swift,,2144,4,,
2010,dockerfile,,78,3,,
2011,hcl,1,16,3,,
2012,julia,467,10121,196,620,486
2014,haskell,18803,411545,11551,10505,16708
2018,lua,51501,454362,18594,20499,29802
2007,scala,,4411,30,,
2008,css,92,13754,454,,
2009,haskell,848,22124,586,,10
2009,powershell,10,113,13,,
2014,shell,143909,2848352,124132,49728,71174
2010,php,21062,558910,12237,1564,7994
2010,tex,204,15427,717,9,78
2012,actionscript,6843,95697,3583,812,1638
2014,rust,8411,177866,3552,15063,19225
2010,dart,3,12,2,,
2014,java,647138,10937510,438846,298670,433505
2016,c#,307918,3586894,185228,174446,238081
2009,objective-c,2831,48209,1471,,395
2014,objective-c,162311,1379402,75585,39757,65357
2008,perl,848,97571,2428,,
2009,vim script,10,985,40,,
2011,actionscript,3452,38781,1500,268,519
2007,rust,,13,2,,
2010,actionscript,2276,13730,748,37,352
2012,hcl,4,58,13,3,1
2012,arduino,2356,14687,1789,135,209
2008,html,96,84134,1735,,7
2013,objective-c,171791,875249,50782,23999,41607
2016,vue,10769,37259,2634,1016,1595
2017,elixir,18822,181981,7842,15762,19400
2017,python,1312696,11465981,456623,752207,959966
2007,cmake,,555,40,,
2008,php,895,259232,3886,,887
2009,julia,,177,9,,
2017,makefile,37144,469665,22992,18970,22784
2019,lua,26408,198507,11922,9552,19705
2014,ruby,410372,6367823,201000,325163,408287
2016,html,753460,11553622,555608,387806,474503
2019,scala,28884,344980,15742,35153,48529
2015,css,457462,6621285,341403,180955,249430
2018,shell,415792,4201619,235906,183204,227440
2011,puppet,596,6744,417,125,144
2014,html,54801,3047107,109983,91088,121736
2019,c,284436,2293251,145827,105835,186252
2007,assembly,,5238,123,,
2007,coldfusion,,775,18,,
2015,tex,38191,895976,39940,16120,21886
2017,julia,8960,172863,2791,21046,25165
2019,objective-c,65947,285981,28546,18456,34403
2011,cmake,34,4725,238,15,81
2013,tex,5927,214500,10142,3912,5530
2007,go,,299,5,,
2008,haskell,142,22118,349,,
2009,makefile,17,65496,963,,
2018,erlang,9050,104232,3443,8351,10010
2019,vue,91889,673981,50500,26325,41419
2007,c++,,590225,6730,,5
2007,dart,,2,1,,
